,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Critical Cases,Total Cases per Million,Total Deaths per Million,Continent,Population
89,Sri Lanka,103487,655,94856,7976,,4816,30,Asia,21486973
90,Montenegro,96930,1478,92975,2477,69,154315,2353,Europe,628131
91,Kyrgyzstan,94599,1592,88658,4349,25,14307,241,Asia,6612191
92,Ghana,92464,779,90103,1582,8,2926,25,Africa,31602281
93,Zambia,91418,1249,89717,452,39,4862,66,Africa,18802937
94,Uzbekistan,90008,646,86449,2913,23,2658,19,Asia,33866047
95,Finland,86161,908,46000,39253,32,15531,164,Europe,5547794
96,Mozambique,69762,814,64448,4500,43,2182,25,Africa,31968038
97,El Salvador,68922,2117,64667,2138,33,10582,325,North America,6513071
98,Luxembourg,66594,791,62989,2814,30,104988,1247,Europe,634304
99,Cameroon,65998,991,57821,7186,385,2437,37,Africa,27084275
100,Cyprus,63720,303,39061,24356,73,52463,249,Asia,1214568
101,Thailand,61699,178,34402,27119,1,882,3,Asia,69943875
102,Singapore,61086,30,60704,352,,10375,5,Asia,5888076
103,Afghanistan,59576,2618,52974,3984,1124,1503,66,Asia,39643369
104,Namibia,48011,634,45740,1637,44,18620,246,Africa,2578500
105,Botswana,46600,702,44740,1158,1,19495,294,Africa,2390388
106,Ivory Coast,45885,285,45451,149,,1705,11,Africa,26910533
107,Jamaica,45212,767,20729,23716,27,15214,258,North America,2971779
108,Uganda,41737,341,40898,498,24,890,7,Africa,46914849
109,Senegal,40249,1107,38991,151,10,2353,65,Africa,17103240
110,Zimbabwe,38164,1565,35480,1119,12,2538,104,Africa,15039933
111,Madagascar,36510,631,30070,5809,398,1291,22,Africa,28270869
112,Malawi,34031,1147,31953,931,6,1742,59,Africa,19532576
113,Mongolia,33608,97,18033,15478,103,10118,29,Asia,3321455
114,Sudan,33104,2349,26795,3960,,741,53,Africa,44683979
115,Malta,30249,413,29462,374,,68358,933,Europe,442509
116,DRC,29768,763,26172,2833,,324,8,Africa,91775054
117,Australia,29750,910,28558,282,1,1156,35,Australia/Oceania,25742204
118,Maldives,28588,71,24499,4018,90,52137,129,Asia,548324
119,Angola,25942,587,23341,2014,24,770,17,Africa,33697207
120,Rwanda,24814,331,23089,1394,4,1878,25,Africa,13213838
121,Cabo Verde,22772,211,19715,2846,23,40597,376,Africa,560934
122,Gabon,22568,138,19173,3257,19,9948,61,Africa,2268548
123,Syria,22389,1559,16283,4547,,1254,87,Asia,17847141
124,Guinea,22087,141,19558,2388,24,1645,11,Africa,13422785
125,Réunion,20381,148,18659,1574,36,22632,164,Africa,900553
126,Mayotte,19849,169,2964,16716,5,71353,608,Africa,278180
127,French Guiana,19099,100,9995,9004,21,62622,328,South America,304987
128,French Polynesia,18744,141,4842,13761,3,66411,500,Australia/Oceania,282241
129,Eswatini,18448,671,17741,36,3,15767,574,Africa,1170007
130,Mauritania,18314,455,17620,239,14,3856,96,Africa,4749185
131,Somalia,13915,713,5847,7355,,856,44,Africa,16254075
132,Mali,13722,476,8313,4933,,662,23,Africa,20725347
133,Guadeloupe,13669,185,2242,11242,23,34157,462,North America,400180
134,Tajikistan,13308,90,13218,0,,1370,9,Asia,9712364
135,Burkina Faso,13286,157,13000,129,,622,7,Africa,21369832
136,Andorra,13121,124,12561,436,24,169594,1603,Europe,77367
137,Haiti,13017,254,12143,620,,1130,22,North America,11516349
138,Togo,12884,122,10927,1835,,1527,14,Africa,8436912
139,Guyana,12826,291,10944,1591,14,16242,369,South America,789668
140,Belize,12631,322,12193,116,1,31302,798,North America,403525
141,Curaçao,12146,107,11339,700,22,73771,650,North America,164644
142,Hong Kong,11756,209,11392,155,3,1558,28,Asia,7546858
143,Martinique,11253,75,98,11080,33,30006,200,North America,375026
144,Cambodia,11063,82,3704,7277,,654,5,Asia,16908313
145,Djibouti,10931,142,10510,279,,10934,142,Africa,999754
146,Papua New Guinea,10835,105,8561,2169,,1193,12,Australia/Oceania,9085444
147,Lesotho,10730,316,6267,4147,,4976,147,Africa,2156176
148,Congo,10678,144,8208,2326,,1897,26,Africa,5628768
149,Aruba,10570,98,10245,227,14,98658,915,North America,107138
150,South Sudan,10553,114,10312,127,,934,10,Africa,11301205
151,Bahamas,10220,198,9326,696,4,25787,500,North America,396324
152,Suriname,10157,201,9193,763,12,17188,340,South America,590941
153,Trinidad and Tobago,9947,161,8281,1505,8,7089,115,North America,1403210
154,Benin,7720,97,7510,113,35,623,8,Africa,12381797
155,Equatorial Guinea,7559,107,7097,355,5,5248,74,Africa,1440421
156,Nicaragua,6898,182,4225,2491,,1031,27,North America,6689098
157,Iceland,6447,29,6240,178,4,18793,85,Europe,343060
158,CAR,6359,87,5112,1160,2,1298,18,Africa,4898392
159,Yemen,6220,1207,2674,2339,23,205,40,Asia,30361818
160,Gambia,5882,174,5309,399,3,2380,70,Africa,2471916
161,Seychelles,5354,26,4675,653,,54165,263,Africa,98847
162,Niger,5220,191,4843,186,18,209,8,Africa,24917337
163,San Marino,5059,90,4897,72,4,148838,2648,Europe,33990
164,Chad,4779,170,4406,203,,284,10,Africa,16809324
165,Saint Lucia,4508,74,4344,90,,24458,401,North America,184316
166,Gibraltar,4283,94,4183,6,1,127156,2791,Europe,33683
167,Channel Islands,4111,86,3956,69,1,23468,491,Europe,175177
168,Sierra Leone,4046,79,3045,922,,499,10,Africa,8109399
169,Burundi,3884,6,773,3105,,319,0.5,Africa,12178771
170,Comoros,3833,146,3664,23,,4332,165,Africa,884716
171,Barbados,3831,44,3750,37,,13318,153,North America,287664
172,Guinea-Bissau,3731,67,3267,397,9,1860,33,Africa,2005920
173,Eritrea,3640,10,3455,175,,1015,3,Africa,3586587
174,Liechtenstein,2908,57,2774,77,6,76090,1491,Europe,38218
175,Vietnam,2857,35,2516,306,,29,0.4,Asia,98056557
176,New Zealand,2610,26,2557,27,,522,5,Australia/Oceania,5002100
177,Monaco,2442,32,2338,72,2,61870,811,Europe,39470
178,Turks and Caicos,2379,17,2328,34,2,60772,434,North America,39146
179,Bermuda,2362,24,1737,601,28,38042,387,North America,62089
180,Sao Tome and Principe,2299,35,2239,25,,10333,157,Africa,222483
181,Sint Maarten,2220,27,2181,12,1,51300,624,North America,43275
182,Timor-Leste,2124,3,1020,1101,,1586,2,Asia,1338954
183,Liberia,2098,85,1942,71,2,407,16,Africa,5154594
184,St. Vincent Grenadines,1850,11,1711,128,2,16632,99,North America,111229
185,Saint Martin,1720,12,1399,309,7,43872,306,North America,39205
